id:72,x:0.5138771533966064,y:0.3762623369693756
id:73,x:0.5068367123603821,y:0.3776693642139435
id:74,x:0.5019619464874268,y:0.3792220950126648
id:75,x:0.5052797198295593,y:0.36226391792297363
id:76,x:0.49606937170028687,y:0.3820817172527313
id:77,x:0.4989796280860901,y:0.38446763157844543
id:78,x:0.4981537163257599,y:0.3821789026260376
id:79,x:0.505814254283905,y:0.35990583896636963
id:80,x:0.505902111530304,y:0.3808113932609558
id:81,x:0.5103387236595154,y:0.3801431655883789
id:82,x:0.5161654949188232,y:0.3797978162765503
id:83,x:0.5133615732192993,y:0.39928552508354187
id:84,x:0.5143159627914429,y:0.39530280232429504
id:85,x:0.5145078301429749,y:0.39194247126579285
id:86,x:0.5152782797813416,y:0.3885026276111603
id:87,x:0.5162996053695679,y:0.3859614133834839
id:88,x:0.5059685707092285,y:0.38432225584983826
id:89,x:0.5042641758918762,y:0.38534650206565857
id:90,x:0.5022767186164856,y:0.38694530725479126
id:91,x:0.500819206237793,y:0.3887328505516052
id:92,x:0.49126219749450684,y:0.37344568967819214
id:93,x:0.4447147846221924,y:0.3523571491241455
id:94,x:0.5202675461769104,y:0.3637428879737854
id:95,x:0.5026922821998596,y:0.3834111988544464
id:96,x:0.5007925033569336,y:0.383844792842865
id:97,x:0.5114458799362183,y:0.3647334575653076
id:98,x:0.5006430745124817,y:0.363511323928833
id:99,x:0.5104081034660339,y:0.36382898688316345
id:100,x:0.49087563157081604,y:0.3453690707683563
id:101,x:0.4780648350715637,y:0.348844438791275
id:102,x:0.49609407782554626,y:0.3579998016357422
id:103,x:0.45743000507354736,y:0.29418155550956726
id:104,x:0.46103137731552124,y:0.30071163177490234
id:105,x:0.4626513123512268,y:0.308356374502182
id:106,x:0.49552294611930847,y:0.39210259914398193
id:107,x:0.4975599944591522,y:0.30989474058151245
id:108,x:0.4972784221172333,y:0.2983761429786682
id:109,x:0.4946900010108948,y:0.2871716618537903
id:110,x:0.465472012758255,y:0.33345383405685425
id:111,x:0.44933149218559265,y:0.33840182423591614
id:112,x:0.49909496307373047,y:0.33206725120544434
id:113,x:0.45397305488586426,y:0.32436642050743103
id:114,x:0.504031240940094,y:0.33916422724723816
id:115,x:0.5008237361907959,y:0.35678836703300476
id:116,x:0.44349274039268494,y:0.341519832611084
id:117,x:0.4534032344818115,y:0.3420374095439911
id:118,x:0.4627527594566345,y:0.34396567940711975
id:119,x:0.47808048129081726,y:0.34309157729148865
id:120,x:0.48947688937187195,y:0.3410182595252991
id:121,x:0.4977720379829407,y:0.3387909531593323
id:122,x:0.5130553245544434,y:0.3325447738170624
id:123,x:0.44541260600090027,y:0.3521089255809784
id:124,x:0.44917604327201843,y:0.3236156105995178
id:125,x:0.5158791542053223,y:0.3625760078430176
id:126,x:0.4995420575141907,y:0.34761953353881836
id:127,x:0.4397576153278351,y:0.3305779695510864
id:128,x:0.5037225484848022,y:0.3361668586730957
id:129,x:0.49586015939712524,y:0.3581419587135315
id:130,x:0.4586692452430725,y:0.32833021879196167
id:131,x:0.5007416009902954,y:0.35341188311576843
id:132,x:0.4489290714263916,y:0.3642617464065552
id:133,x:0.49950456619262695,y:0.3302057087421417
id:134,x:0.505918025970459,y:0.3505673408508301
id:135,x:0.46941396594047546,y:0.3903222680091858
id:136,x:0.4718225300312042,y:0.3950662910938263
id:137,x:0.44144657254219055,y:0.3524623513221741
id:138,x:0.46038681268692017,y:0.3833411931991577
id:139,x:0.4415563941001892,y:0.3214873671531677
id:140,x:0.49701714515686035,y:0.40764760971069336
id:141,x:0.5172328352928162,y:0.3635956645011902
id:142,x:0.4928545355796814,y:0.351295530796051
id:143,x:0.4449723958969116,y:0.33187511563301086
id:144,x:0.47179073095321655,y:0.33152133226394653
id:145,x:0.4787995517253876,y:0.33181115984916687
id:146,x:0.4974416196346283,y:0.38521596789360046
id:147,x:0.4489316940307617,y:0.3620062470436096
id:148,x:0.5110191702842712,y:0.41426190733909607
id:149,x:0.4903324544429779,y:0.40657398104667664
id:150,x:0.48196351528167725,y:0.4017806649208069
id:151,x:0.519495964050293,y:0.29823243618011475
id:152,x:0.5269731879234314,y:0.41544008255004883
id:153,x:0.48588353395462036,y:0.3315042555332184
id:154,x:0.492600679397583,y:0.33092200756073
id:155,x:0.49716612696647644,y:0.33063095808029175
id:156,x:0.4455753564834595,y:0.32265377044677734
id:157,x:0.4920159578323364,y:0.3260789215564728
id:158,x:0.48461827635765076,y:0.3242228031158447
id:159,x:0.47686266899108887,y:0.3237967789173126
id:160,x:0.46960437297821045,y:0.3246324360370636
id:161,x:0.4654536545276642,y:0.32605016231536865
id:162,x:0.43939873576164246,y:0.31928443908691406
id:163,x:0.4672425091266632,y:0.33073049783706665
id:164,x:0.521465539932251,y:0.3688116669654846
id:165,x:0.4978522062301636,y:0.3707422614097595
id:166,x:0.5030603408813477,y:0.36061176657676697
id:167,x:0.5109699964523315,y:0.36917418241500854
id:168,x:0.5205551385879517,y:0.3241203725337982
id:169,x:0.4788457751274109,y:0.39693593978881836
id:170,x:0.487677663564682,y:0.40215304493904114
id:171,x:0.5096715688705444,y:0.4118257462978363
id:172,x:0.46371179819107056,y:0.3874066472053528
id:173,x:0.4971299171447754,y:0.3285987377166748
id:174,x:0.5081275105476379,y:0.34082499146461487
id:175,x:0.5260400772094727,y:0.4129450023174286
id:176,x:0.49947091937065125,y:0.41101112961769104
id:177,x:0.44577592611312866,y:0.3633769452571869
id:178,x:0.5104578733444214,y:0.3852381408214569
id:179,x:0.5088356733322144,y:0.38705265522003174
id:180,x:0.5073265433311462,y:0.38964012265205383
id:181,x:0.5064506530761719,y:0.3926358222961426
id:182,x:0.5029926896095276,y:0.3962978422641754
id:183,x:0.5004389882087708,y:0.38120460510253906
id:184,x:0.4984839856624603,y:0.3807143270969391
id:185,x:0.49690958857536316,y:0.38011983036994934
id:186,x:0.48666802048683167,y:0.3772481679916382
id:187,x:0.4580361545085907,y:0.36523377895355225
id:188,x:0.5086318850517273,y:0.33549219369888306
id:189,x:0.5042139887809753,y:0.3259803056716919
id:190,x:0.49994251132011414,y:0.3267078399658203
id:191,x:0.50230473279953,y:0.38154175877571106
id:192,x:0.46075695753097534,y:0.3768753707408905
id:193,x:0.5104560256004333,y:0.32545706629753113
id:194,x:0.5000094771385193,y:0.399580180644989
id:195,x:0.5193755626678467,y:0.34250444173812866
id:196,x:0.5128645896911621,y:0.3382622003555298
id:197,x:0.5197933912277222,y:0.33715981245040894
id:198,x:0.5031967759132385,y:0.3488536477088928
id:199,x:0.525364100933075,y:0.4088769853115082
id:200,x:0.524915874004364,y:0.4039093554019928
id:201,x:0.5116357207298279,y:0.4031851589679718
id:202,x:0.48399168252944946,y:0.38892799615859985
id:203,x:0.4897485673427582,y:0.36215436458587646
id:204,x:0.49118489027023315,y:0.39480605721473694
id:205,x:0.4723573923110962,y:0.36142438650131226
id:206,x:0.48336437344551086,y:0.36717653274536133
id:207,x:0.4682145416736603,y:0.36925435066223145
id:208,x:0.5098251104354858,y:0.40790486335754395
id:209,x:0.4994830787181854,y:0.3516814410686493
id:210,x:0.47916659712791443,y:0.39215952157974243
id:211,x:0.4882005751132965,y:0.3979886770248413
id:212,x:0.4778541028499603,y:0.38228458166122437
id:213,x:0.45316559076309204,y:0.3703938126564026
id:214,x:0.4697932302951813,y:0.38276705145835876
id:215,x:0.4517436921596527,y:0.37366732954978943
id:216,x:0.4790823459625244,y:0.37342017889022827
id:217,x:0.5040343999862671,y:0.344135582447052
id:218,x:0.5033094882965088,y:0.35907405614852905
id:219,x:0.4997738003730774,y:0.3602413833141327
id:220,x:0.5054750442504883,y:0.355789452791214
id:221,x:0.4966186583042145,y:0.32070639729499817
id:222,x:0.48231035470962524,y:0.31706488132476807
id:223,x:0.4700426459312439,y:0.31640347838401794
id:224,x:0.4607643187046051,y:0.3175032436847687
id:225,x:0.4552214443683624,y:0.32012173533439636
id:226,x:0.45479264855384827,y:0.3295072615146637
id:227,x:0.4391036033630371,y:0.3419189751148224
id:228,x:0.46027249097824097,y:0.33697670698165894
id:229,x:0.46821585297584534,y:0.33853214979171753
id:230,x:0.47882378101348877,y:0.33846133947372437
id:231,x:0.4889627695083618,y:0.33733054995536804
id:232,x:0.4967629313468933,y:0.3358299434185028
id:233,x:0.502048909664154,y:0.33426618576049805
id:234,x:0.44205233454704285,y:0.34132131934165955
id:235,x:0.5003578662872314,y:0.36150336265563965
id:236,x:0.5075414776802063,y:0.34558069705963135
id:237,x:0.5077956318855286,y:0.359427273273468
id:238,x:0.5124111771583557,y:0.361754447221756
id:239,x:0.508401095867157,y:0.3601684272289276
id:240,x:0.5026566982269287,y:0.3629223704338074
id:241,x:0.5136211514472961,y:0.3622572422027588
id:242,x:0.5149489641189575,y:0.36329320073127747
id:243,x:0.5020546913146973,y:0.3304115831851959
id:244,x:0.5060368180274963,y:0.33145561814308167
id:245,x:0.5080675482749939,y:0.33222696185112
id:246,x:0.4633505940437317,y:0.3271557092666626
id:247,x:0.45745912194252014,y:0.3246966600418091
id:248,x:0.52650386095047,y:0.3431145250797272
id:249,x:0.5812056064605713,y:0.32903969287872314
id:250,x:0.5277346968650818,y:0.3624129295349121
id:251,x:0.614037811756134,y:0.30680710077285767
id:252,x:0.5590173006057739,y:0.3344169855117798
id:253,x:0.5675564408302307,y:0.3345179557800293
id:254,x:0.5754117369651794,y:0.33389294147491455
id:255,x:0.5850410461425781,y:0.3306483328342438
id:256,x:0.5513536334037781,y:0.3334231674671173
id:257,x:0.5682991743087769,y:0.31768175959587097
id:258,x:0.5584558248519897,y:0.31853753328323364
id:259,x:0.5774925947189331,y:0.31864801049232483
id:260,x:0.5836679339408875,y:0.3209730088710785
id:261,x:0.5931466817855835,y:0.3334633708000183
id:262,x:0.5564746260643005,y:0.40334245562553406
id:263,x:0.5838836431503296,y:0.3274603486061096
id:264,x:0.6202283501625061,y:0.3289283812046051
id:265,x:0.6020340323448181,y:0.3292374014854431
id:266,x:0.5644104480743408,y:0.35442525148391724
id:267,x:0.5320636630058289,y:0.37328746914863586
id:268,x:0.5318613052368164,y:0.37825828790664673
id:269,x:0.5423538088798523,y:0.37548813223838806
id:270,x:0.5491844415664673,y:0.37744179368019104
id:271,x:0.5397629141807556,y:0.37873998284339905
id:272,x:0.5459633469581604,y:0.3794567286968231
id:273,x:0.562978982925415,y:0.38702672719955444
id:274,x:0.5257781147956848,y:0.36001840233802795
id:275,x:0.5265370607376099,y:0.3550446927547455
id:276,x:0.5938445329666138,y:0.3161865174770355
id:277,x:0.5469686985015869,y:0.3417341113090515
id:278,x:0.5461100935935974,y:0.35808637738227844
id:279,x:0.5471805930137634,y:0.3552354574203491
id:280,x:0.5904264450073242,y:0.35321399569511414
id:281,x:0.526443600654602,y:0.3486268222332001
id:282,x:0.5729123950004578,y:0.3102721869945526
id:283,x:0.5849214196205139,y:0.31218522787094116
id:284,x:0.6041978597640991,y:0.298089861869812
id:285,x:0.5370325446128845,y:0.31539323925971985
id:286,x:0.5503454208374023,y:0.3214187026023865
id:287,x:0.5683304667472839,y:0.3812752664089203
id:288,x:0.6135585308074951,y:0.37566691637039185
id:289,x:0.5399658679962158,y:0.36107948422431946
id:290,x:0.5335797667503357,y:0.3626410663127899
id:291,x:0.5576351284980774,y:0.3804994523525238
id:292,x:0.5554718375205994,y:0.38069435954093933
id:293,x:0.5887389779090881,y:0.30884796380996704
id:294,x:0.5469299554824829,y:0.36024096608161926
id:295,x:0.5574287176132202,y:0.31073206663131714
id:296,x:0.557993471622467,y:0.306537926197052
id:297,x:0.56828373670578,y:0.2875020503997803
id:298,x:0.5981531143188477,y:0.30293843150138855
id:299,x:0.5634737610816956,y:0.2969636023044586
id:300,x:0.5985692739486694,y:0.31367263197898865
id:301,x:0.6080745458602905,y:0.3099749684333801
id:302,x:0.5321385264396667,y:0.3759799003601074
id:303,x:0.5410885810852051,y:0.37722501158714294
id:304,x:0.5476609468460083,y:0.3784797191619873
id:305,x:0.5381901264190674,y:0.36200496554374695
id:306,x:0.5565119385719299,y:0.38060376048088074
id:307,x:0.5528731346130371,y:0.38325297832489014
id:308,x:0.5544392466545105,y:0.38079527020454407
id:309,x:0.5354679226875305,y:0.35960862040519714
id:310,x:0.5445647835731506,y:0.38005155324935913
id:311,x:0.5385846495628357,y:0.37963536381721497
id:312,x:0.5315207839012146,y:0.37952834367752075
id:313,x:0.5366182923316956,y:0.39914700388908386
id:314,x:0.5347232222557068,y:0.39506086707115173
id:315,x:0.5339164137840271,y:0.39169374108314514
id:316,x:0.532924473285675,y:0.3882500231266022
id:317,x:0.53194260597229,y:0.3857412338256836
id:318,x:0.5447806119918823,y:0.38357555866241455
id:319,x:0.5465044379234314,y:0.3845064640045166
id:320,x:0.5485666394233704,y:0.3860164284706116
id:321,x:0.5502546429634094,y:0.3877614438533783
id:322,x:0.557451069355011,y:0.3728650212287903
id:323,x:0.6232472658157349,y:0.35023927688598633
id:324,x:0.5491412878036499,y:0.38242313265800476
id:325,x:0.5509787797927856,y:0.38273370265960693
id:326,x:0.5313841104507446,y:0.36456337571144104
id:327,x:0.5447035431861877,y:0.36315688490867615
id:328,x:0.5324072241783142,y:0.3636464476585388
id:329,x:0.5561844110488892,y:0.3444634675979614
id:330,x:0.5703691840171814,y:0.34766772389411926
id:331,x:0.5490575432777405,y:0.3574367165565491
